righthipyaw,righthiproll,righthippitch,rightknee,rightankleroll,rightanklepitch,time
0,0.495574,0.133619,0.380124,0.86636,0.246504,3.76
0,0.495461,0.127262,0.34425,0.866071,0.216987,3.776
0,0.495373,0.129273,0.314648,0.865845,0.185375,3.792
0,0.495307,0.137504,0.289267,0.865676,0.151763,3.808
0,0.495262,0.149499,0.265426,0.86556,0.115926,3.824
0,0.495236,0.162763,0.240359,0.865494,0.077595,3.84
0,0.495228,0.174969,0.21165,0.865473,0.03668,3.856
0,0.495237,0.184082,0.17746,0.865495,0.006621,3.872
0,0.49526,0.188407,0.136616,0.865555,0.05179,3.888
0,0.495298,0.995421,-0.015437,0.865712,0.097954,3.904
0,0.0349066,0.715585,-0.872665,0,0.436332,3.92
0,0.0349066,0.715585,-0.872665,0,0.436332,3.936
0,0.0349066,0.715585,-0.872665,0,0.436332,3.952
0,0.0349066,0.715585,-0.872665,0,0.436332,3.968
0,0.495015,-0.033352,-0.067389,0.864926,0.034036,3.984
0,0.495029,-0.044672,-0.090879,0.864961,0.046206,4
0,0.495041,-0.05184,-0.107092,0.864991,0.055251,4.016
0,0.495051,-0.056638,-0.119447,0.865018,0.062808,4.032
0,0.49506,-0.059903,-0.129465,0.865041,0.069562,4.048
0,0.495069,-0.062176,-0.138082,0.865064,0.075905,4.064
0,0.495078,-0.063874,-0.145988,0.865086,0.082113,4.08
0,0.495087,-0.065353,-0.153759,0.865109,0.088405,4.096
0,0.495097,-0.066926,-0.161899,0.865136,0.094972,4.112
0,0.495109,-0.068876,-0.170858,0.865166,0.101981,4.128
0,0.495123,-0.07145,-0.181026,0.865203,0.109575,4.144
0,0.49514,-0.07486,-0.192729,0.865247,0.117868,4.16
0,0.495162,-0.079277,-0.206221,0.865301,0.126944,4.176
0,0.495187,-0.084829,-0.221684,0.865367,0.136854,4.192
0,0.495218,-0.091608,-0.23923,0.865447,0.147621,4.208
0,0.495256,-0.099673,-0.258915,0.865544,0.159242,4.224
0,0.495301,-0.109052,-0.280751,0.865659,0.171698,4.24
0,0.495354,-0.119759,-0.304715,0.865795,0.184956,4.256
0,0.495416,-0.131787,-0.330768,0.865955,0.19898,4.272
0,0.495489,-0.145122,-0.358854,0.866143,0.213731,4.288
0,0.495574,-0.133619,-0.380124,0.86636,0.246504,4.304
0,0.495574,0.133619,0.380124,0.86636,0.246504,4.32
0,0.495461,0.127262,0.34425,0.866071,0.216987,4.336
0,0.495373,0.129273,0.314648,0.865845,0.185375,4.352
0,0.495307,0.137504,0.289267,0.865676,0.151763,4.368
0,0.495262,0.149499,0.265426,0.86556,0.115926,4.384
0,0.495236,0.162763,0.240359,0.865494,0.077595,4.4
0,0.495228,0.174969,0.21165,0.865473,0.03668,4.416
0,0.495237,0.184082,0.17746,0.865495,0.006621,4.432
0,0.49526,0.188407,0.136616,0.865555,0.05179,4.448
0,0.495298,0.995421,-0.015437,0.865712,0.097954,4.464
0,0.0349066,0.715585,-0.872665,0,0.436332,4.48
0,0.0349066,0.715585,-0.872665,0,0.436332,4.496
0,0.0349066,0.715585,-0.872665,0,0.436332,4.512
0,0.0349066,0.715585,-0.872665,0,0.436332,4.528
0,0.495015,-0.033352,-0.067389,0.864926,0.034036,4.544
0,0.495029,-0.044672,-0.090879,0.864961,0.046206,4.56
0,0.495041,-0.05184,-0.107092,0.864991,0.055251,4.576
0,0.495051,-0.056638,-0.119447,0.865018,0.062808,4.592
0,0.49506,-0.059903,-0.129465,0.865041,0.069562,4.608
0,0.495069,-0.062176,-0.138082,0.865064,0.075905,4.624
0,0.495078,-0.063874,-0.145988,0.865086,0.082113,4.64
0,0.495087,-0.065353,-0.153759,0.865109,0.088405,4.656
0,0.495097,-0.066926,-0.161899,0.865136,0.094972,4.672
0,0.495109,-0.068876,-0.170858,0.865166,0.101981,4.688
0,0.495123,-0.07145,-0.181026,0.865203,0.109575,4.704
0,0.49514,-0.07486,-0.192729,0.865247,0.117868,4.72
0,0.495162,-0.079277,-0.206221,0.865301,0.126944,4.736
0,0.495187,-0.084829,-0.221684,0.865367,0.136854,4.752
0,0.495218,-0.091608,-0.23923,0.865447,0.147621,4.768
0,0.495256,-0.099673,-0.258915,0.865544,0.159242,4.784
0,0.495301,-0.109052,-0.280751,0.865659,0.171698,4.8
0,0.495354,-0.119759,-0.304715,0.865795,0.184956,4.816
0,0.495416,-0.131787,-0.330768,0.865955,0.19898,4.832
0,0.495489,-0.145122,-0.358854,0.866143,0.213731,4.848
0,0.495574,-0.133619,-0.380124,0.86636,0.246504,4.864
0,0.495574,0.133619,0.380124,0.86636,0.246504,4.88
0,0.495461,0.127262,0.34425,0.866071,0.216987,4.896
0,0.495373,0.129273,0.314648,0.865845,0.185375,4.912
0,0.495307,0.137504,0.289267,0.865676,0.151763,4.928
0,0.495262,0.149499,0.265426,0.86556,0.115926,4.944
0,0.495236,0.162763,0.240359,0.865494,0.077595,4.96
0,0.495228,0.174969,0.21165,0.865473,0.03668,4.976
0,0.495237,0.184082,0.17746,0.865495,0.006621,4.992
0,0.49526,0.188407,0.136616,0.865555,0.05179,5.008
0,0.495298,0.995421,-0.015437,0.865712,0.097954,5.024
0,0.0349066,0.715585,-0.872665,0,0.436332,5.04
0,0.0349066,0.715585,-0.872665,0,0.436332,5.056
0,0.0349066,0.715585,-0.872665,0,0.436332,5.072
0,0.0349066,0.715585,-0.872665,0,0.436332,5.088
0,0.495015,-0.033352,-0.067389,0.864926,0.034036,5.104
0,0.495029,-0.044672,-0.090879,0.864961,0.046206,5.12
0,0.495041,-0.05184,-0.107092,0.864991,0.055251,5.136
0,0.495051,-0.056638,-0.119447,0.865018,0.062808,5.152
0,0.49506,-0.059903,-0.129465,0.865041,0.069562,5.168
0,0.495069,-0.062176,-0.138082,0.865064,0.075905,5.184
0,0.495078,-0.063874,-0.145988,0.865086,0.082113,5.2
0,0.495087,-0.065353,-0.153759,0.865109,0.088405,5.216
0,0.495097,-0.066926,-0.161899,0.865136,0.094972,5.232
0,0.495109,-0.068876,-0.170858,0.865166,0.101981,5.248
0,0.495123,-0.07145,-0.181026,0.865203,0.109575,5.264
0,0.49514,-0.07486,-0.192729,0.865247,0.117868,5.28
