righthipyaw,righthiproll,righthippitch,rightknee,rightankleroll,rightanklepitch,time
0,0.034907,0.715585,-0.872665,0,0.436332,0.032
0,0.034907,0.715585,-0.872665,0,0.436332,0.048
0,0.034907,0.715585,-0.872665,0,0.436332,0.064
0,0.034907,0.715585,-0.872665,0,0.436332,0.08
0,0.034907,0.715585,-0.872665,0,0.436332,0.096
0,0.034907,0.715585,-0.872665,0,0.436332,0.112
0,0.034907,0.715585,-0.872665,0,0.436332,0.128
0,0.034907,0.715585,-0.872665,0,0.436332,0.144
0,0.034907,0.715585,-0.872665,0,0.436332,0.16
0,0.034907,0.715585,-0.872665,0,0.436332,0.176
0,0.034907,0.715585,-0.872665,0,0.436332,0.192
0,0.034907,0.715585,-0.872665,0,0.436332,0.208
0,0.034907,0.715585,-0.872665,0,0.436332,0.224
0,0.034907,0.715585,-0.872665,0,0.436332,0.24
0,0.034907,0.715585,-0.872665,0,0.436332,0.256
0,0.034907,0.715585,-0.872665,0,0.436332,0.272
0,0.034907,0.715585,-0.872665,0,0.436332,0.288
0,0.034907,0.715585,-0.872665,0,0.436332,0.304
0,0.034907,0.715585,-0.872665,0,0.436332,0.32
0,0.034907,0.715585,-0.872665,0,0.436332,0.336
0,0.034907,0.715585,-0.872665,0,0.436332,0.352
0,0.034907,0.715585,-0.872665,0,0.436332,0.368
0,0.034907,0.715585,-0.872665,0,0.436332,0.384
0,0.034907,0.715585,-0.872665,0,0.436332,0.4
0,0.034907,0.715585,-0.872665,0,0.436332,0.416
0,0.034907,0.715585,-0.872665,0,0.436332,0.432
0,0.034907,0.715585,-0.872665,0,0.436332,0.448
0,0.034907,0.715585,-0.872665,0,0.436332,0.464
0,0.034907,0.715585,-0.872665,0,0.436332,0.48
0,0.034907,0.715585,-0.872665,0,0.436332,0.496
0,0.034907,0.715585,-0.872665,0,0.436332,0.512
0,0.034907,0.715585,-0.872665,0,0.436332,0.528
0,0.034907,0.715585,-0.872665,0,0.436332,0.544
0,0.034907,0.715585,-0.872665,0,0.436332,0.56
0,0.034907,0.715585,-0.872665,0,0.436332,0.576
0,0.034907,0.715585,-0.872665,0,0.436332,0.592
0,0.034907,0.715585,-0.872665,0,0.436332,0.608
0,0.034907,0.715585,-0.872665,0,0.436332,0.624
0,0.034907,0.715585,-0.872665,0,0.436332,0.64
0,0.034907,0.715585,-0.872665,0,0.436332,0.656
0,0.034907,0.715585,-0.872665,0,0.436332,0.672
0,0.034907,0.715585,-0.872665,0,0.436332,0.688
0,0.034907,0.715585,-0.872665,0,0.436332,0.704
0,0.034907,0.715585,-0.872665,0,0.436332,0.72
0,0.034907,0.715585,-0.872665,0,0.436332,0.736
0,0.034907,0.715585,-0.872665,0,0.436332,0.752
0,0.034907,0.715585,-0.872665,0,0.436332,0.768
0,0.034907,0.715585,-0.872665,0,0.436332,0.784
0,0.034907,0.715585,-0.872665,0,0.436332,0.8
0,0.034907,0.715585,-0.872665,0,0.436332,0.816
0,0.034907,0.715585,-0.872665,0,0.436332,0.832
0,0.034907,0.715585,-0.872665,0,0.436332,0.848
0,0.034907,0.715585,-0.872665,0,0.436332,0.864
0,0.034907,0.715585,-0.872665,0,0.436332,0.88
0,0.034907,0.715585,-0.872665,0,0.436332,0.896
0,0.034907,0.715585,-0.872665,0,0.436332,0.912
0,0.034907,0.715585,-0.872665,0,0.436332,0.928
0,0.034907,0.715585,-0.872665,0,0.436332,0.944
0,0.034907,0.715585,-0.872665,0,0.436332,0.96
0,0.034907,0.715585,-0.872665,0,0.436332,0.976
0,0.034907,0.715585,-0.872665,0,0.436332,0.992
0,0.034907,0.715585,-0.872665,0,0.436332,1.008
0,0.034907,0.715585,-0.872665,0,0.436332,1.024
0,0.038587,0.709594,-0.866223,0.006919,0.433114,1.04
0,0.045949,0.697611,-0.853338,0.020758,0.426677,1.056
0,0.053311,0.685628,-0.840454,0.034597,0.42024,1.072
0,0.060673,0.673645,-0.82757,0.048436,0.413803,1.088
0,0.068034,0.661662,-0.814685,0.062275,0.407367,1.104
0,0.075396,0.649679,-0.801801,0.076113,0.40093,1.12
0,0.082758,0.637696,-0.788916,0.089952,0.394493,1.136
0,0.09012,0.625713,-0.776032,0.103791,0.388056,1.152
0,0.097481,0.61373,-0.763147,0.11763,0.38162,1.168
0,0.104843,0.601747,-0.750263,0.131469,0.375183,1.184
0,0.112205,0.589764,-0.737379,0.145308,0.368746,1.2
0,0.119567,0.577781,-0.724494,0.159146,0.36231,1.216
0,0.126928,0.565798,-0.71161,0.172985,0.355873,1.232
0,0.13429,0.553815,-0.698725,0.186824,0.349436,1.248
0,0.141652,0.541832,-0.685841,0.200663,0.342999,1.264
0,0.149013,0.529849,-0.672957,0.214502,0.336563,1.28
0,0.156375,0.517866,-0.660072,0.22834,0.330126,1.296
0,0.163737,0.505883,-0.647188,0.242179,0.323689,1.312
0,0.171099,0.4939,-0.634303,0.256018,0.317252,1.328
0,0.17846,0.481917,-0.621419,0.269857,0.310816,1.344
0,0.185822,0.469934,-0.608534,0.283696,0.304379,1.36
0,0.193184,0.457951,-0.59565,0.297535,0.297942,1.376
0,0.200546,0.445968,-0.582766,0.311373,0.291505,1.392
0,0.207907,0.433985,-0.569881,0.325212,0.285069,1.408
0,0.215269,0.422002,-0.556997,0.339051,0.278632,1.424
0,0.222631,0.410019,-0.544112,0.35289,0.272195,1.44
0,0.229993,0.398036,-0.531228,0.366729,0.265758,1.456
0,0.237354,0.386053,-0.518344,0.380567,0.259322,1.472
0,0.244716,0.37407,-0.505459,0.394406,0.252885,1.488
0,0.252078,0.362087,-0.492575,0.408245,0.246448,1.504
0,0.259439,0.350104,-0.47969,0.422084,0.240012,1.52
0,0.266801,0.338121,-0.466806,0.435923,0.233575,1.536
0,0.274163,0.326138,-0.453921,0.449762,0.227138,1.552
0,0.281525,0.314155,-0.441037,0.4636,0.220701,1.568
0,0.288886,0.302172,-0.428153,0.477439,0.214265,1.584
