#WEBOTS_MOTION,V1.0,neck_yaw,neck_pitch,left_shoulder_pitch [shoulder],left_shoulder_roll,left_elbow,right_shoulder_pitch [shoulder],right_shoulder_roll,right_elbow,left_hip_yaw [hip],left_hip_roll,left_hip_pitch,left_knee,left_ankle_roll,left_ankle_pitch,right_hip_yaw [hip],right_hip_roll,right_hip_pitch,right_knee,right_ankle_roll,right_ankle_pitch
00:02:510,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495574,  0.133619,  0.380124, 0.866360,   0.246504
00:02:520,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495461,  0.127262,  0.344250, 0.866071,   0.216987
00:02:530,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495373,  0.129273,  0.314648, 0.865845,   0.185375
00:02:540,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495307,  0.137504,  0.289267, 0.865676,   0.151763
00:02:550,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495262,  0.149499,  0.265426, 0.865560,   0.115926
00:02:560,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495236,  0.162763,  0.240359, 0.865494,   0.077595
00:02:570,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495228,  0.174969,  0.211650, 0.865473,   0.036680
00:02:580,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495237,  0.184082,  0.177460, 0.865495,   0.006621
00:02:590,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495260,  0.188407,  0.136616, 0.865555,   0.051790
00:02:600,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0,   0.174533,  0.191986, -0.174533, 0.261799,  0.174533, 0,  0.495298,  0.995421, -0.015437, 0.865712,   0.097954
00:02:760,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0, -0.0349066,  0.715585, -0.872665,        0,  0.436332, 0, 0.0349066,  0.715585, -0.872665,        0,   0.436332
00:02:800,Rest,  0.0, -0.0872665, 0.0872665, 0.001523, 0.785398, 0.0872665, 0.00152308, 0.785398, 0, -0.0349066,  0.715585, -0.872665,        0,  0.436332, 0, 0.0349066,  0.715585, -0.872665,        0,   0.436332 
